Institution Address,Latitude,Longitude
30 Bond Street,43.6536408,-79.3778068
60 Guildwood Parkway,43.746874,-79.2031135
10 Senlac Road,43.7595068,-79.423302
200 Elizabeth Street,43.6585958,-79.3881616
35 Elm Grove Avenue,43.6403408,-79.4307494
2100 Bloor Street - & 5th Fl Assisted Living,,
2920 Lawrence Avenue East,43.754805,-79.2519141
200 Church Street,43.7095314,-79.5105448
215 Tyrrel Avenue,43.6762334,-79.4304271
1925 Steeles Avenue East,43.8075805,-79.374003
40 Old Kingston Road,43.7755215,-79.183151
520 Markham Road,43.7549405,-79.224884
25 Brunswick Avenue,43.6584431,-79.4038326
550 Cummer Avenue,43.7937331,-79.3909377
1800 O'Connor Drive,43.7204409,-79.3052282
150 Dunn Avenue,43.6366163,-79.4341154
914 Bathurst Street,43.6683139,-79.4127933
3030 Birchmount Rd.,43.8028785,-79.3086337
2075 Bayview Avenue,43.7220178,-79.3722543
82 Buttonwood Avenue,43.6888837,-79.5084398
28 Halton Street,43.6487735,-79.4191156
101 Humber College Boulevard,43.7290756,-79.5978858
3560 Bathurst Street,43.7302646,-79.4340919
1-3 Kenton Road,,
265 Queens Dr,,
55 Ameer Avenue,43.7289623,-79.4399818
"2 Buchan Court - 2nd, 3rd & 4th Fl",,
200 Elizabeth Street - Cath Lab,,
825 Coxwell Avenue - CIU-A,,
285 Cummer Ave - A2,,
10-14 William Morgan Drive,,
3758 Sheppard Ave E,,
2121 Kingston Road,,
1020 McNicoll Avenue,43.8057435,-79.3360107
60 Scottfield Drive,43.8086905,-79.2545397
8 The Donway   E,43.7346103,-79.3408873
4650 Eglinton Ave W,43.6713876,-79.5727486
600 University Avenue,43.6574502,-79.3903211
429 Walmer Rd E,,
30  The Queensway,43.6394576,-79.4507928
124 Dowling Ave,43.6369023,-79.4389692
15 Barberry Place,43.7663824,-79.3839657
1001 Queen Street West,43.6430326,-79.4186392
55 Ameer Ave,43.7289623,-79.4399818
2245 Lawrence Ave W - & Becker's Unit,,
340 McCowan Rd E,43.738356,-79.2384568
8 Snowy Owl Way,43.832102,-79.2344429
1235 Wilson Ave,43.7231725,-79.4894205
200 Dawes Rd E,43.695767,-79.2986231
3595 Keele St - East Unit,,
250 College St - GPU-A,,
3276 St. Clair Ave E,43.7122483,-79.2849702
4 Teddington Ave,43.73344,-79.4039041
225 St.George St,43.6725239,-79.4014333
2245 Lawrence Ave W - Weston & Islington,,
40 Bell Estates Rd,,
77 Dunfield Ave,43.706703,-79.3946161
475 Rustic Rd,43.717351,-79.481002
3030 Birchmount Rd - 4A Medicine,,
25 Bruinswick Ave,,
550 University Ave - 7 South,,
"2100 Bloor St W - C, D",,
22 Norfinch Ave,,
5395 Bathurst St,43.6403595,-79.40125
1035 Eglinton Ave W,43.6993415,-79.4326308
8 The Don Way E,,
285 Cummer Ave E,43.787308,-79.4042741
61 Fairfax Cres,43.7156626,-79.284194
10/14 Willian Morgan Dr,,
1 Sand Beach Rd,43.6018985,-79.496832
101 Humber College Blvd - 7 East,,
340 McCowen Rd - & 7th Fl,,
720 Mount Pleasant Rd - 12th Fl,,
129 Spadina Rd,43.696315,-79.4158781
2100 Bloor St W - Section - 4 Fls,,
10 William Morgan Dr - Bldg 10,,
2111 Finch Ave - 5 East,,
262 St. Clair Ave W,43.6855511,-79.4083719
537 Finch Ave W,43.7701792,-79.4445306
22 O'Connor Dr,43.6926952,-79.3540015
54 Foxbar Ave,,
8 Ressurection Rd,,
80 Workman Way,43.6437585,-79.4174687
140 Sherway Ave,,
82 Buttonwood Ave - 2EC,,
14 Willaim Morgan Dr,,
2701 St. Clair Ave E,43.7053205,-79.3120308
3555 Danforth Ave - &  2 West (Topaz),,
1001 Queen St W -  Unit 1-5 LGUD,,
200 Church St - C2N,,
66 Guildwood Ave,,
886 Sheppard Ave E,43.7953012,-79.2318586
520 Sutherland Dr,43.7192674,-79.3698281
4001 Leslie Street,43.7694422,-79.3625861
"180 Sheridan Ave - 3rd, 5th, 6th & 7th Fl",,
65 Livingston Rd - (Memory unit),,
10 -14 William Morgan Drive,43.7089887,-79.3413987
15 Summerland Terr - Concierge/Front Desk,,
2311 McNicoll Ave - & 5 Fl,,
52 Neilson Dr - Laundry & Kitchen,,
3030 Lawrence Ave E - Palliative Care/Oncology,,
